,"PLANTA: TODAS LAS PLANTAS
PROCESO: APOYO
AREA: SISTEMAS Y TELECOMUNICACIONES
",,,,,,,,,"Tipo: FTO
Código: FTO-SYT-19
Revisión: 00
Página: 1 
",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Formato de actualización de precios de compra.,,,,,,,,,#¡REF!,,
,,,,,,,,,,#¡REF!,,
,,,,,,,,,|,,,
COMPANY_CODE,DIVISION,PRICE_RECORD_NUMBER,CUSTOMER_NUMBER,WAREHOUSE,PART_CODE,SYS_CURRENCY_CODE,UNIT_PRICE,PRICE_CODE,DESCRPTION,VALID_FROM_DATE,VALID_TO_DATE,SALES_PRICE
id_compañia,id_division,numero_concecutivo,codigo_cliente,almacen,codigo_producto,moneda_contrato,unidad_medida_(kg),codigo_precio,descripcion,fecha_valida_desde,fecha_valida_hasta,precio
01,01,1,C010001,V5,TOA1-000-P,MXP,KG,PURATOS,ALBUMINA Ph NATURAL,01/03/2022,30/03/2022, 10.00 
01,01,2,C010001,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO LIQUIDO MEGGA PAN ,01/03/2022,30/03/2022, 10.00 
01,01,3,C010001,V5,TOH1-000-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO,01/03/2022,30/03/2022, 10.00 
01,01,4,C010001,X5,TLY1-000-P,MXP,KG,PURATOS,YLPE-YEMA LIQUIDA ,01/03/2022,30/03/2022, 10.00 
01,01,5,C010003,A5,TCY1-002-P,MXP,KG,PURATOS,YCSK-YEMA CONGELADA 10% SAL,01/03/2022,30/03/2022, 10.00 
01,01,6,C010003,V5,TOH1-017-P,MXP,KG,PURATOS,HUEVO CON AZUCAR,01/03/2022,30/03/2022, 10.00 
01,01,7,C010004,V5,TOH1-002-P,MXP,KG,PURATOS,DPET-HUEVO DESHIDRATADO PET,01/03/2022,30/03/2022, 10.00 
01,01,8,C010004,V5,TOH1-018-P,MXP,KG,PURATOS,DHDE-HUEVO DESHIDRATADO ,01/03/2022,30/03/2022, 10.00 
01,01,9,C010004,V5,TOA1-002-P,MXP,KG,PURATOS,ALBUMINA Ph AJUSTADO,01/03/2022,30/03/2022, 10.00 
01,01,10,C010006,V5,TOH1-000-P,MXP,KG,PURATOS,DHRX-HUEVO DESHIDRATADO RINDEX,01/03/2022,30/03/2022, 10.00 
01,01,11,C010006,V5,TOA1-008-P,MXP,KG,PURATOS,ALBUMINA NORMAL,01/03/2022,30/03/2022, 10.00 
01,01,12,C010007,V5,TOH1-018-P,MXP,KG,PURATOS,DHDE-HUEVO DESHIDRATADO ,01/03/2022,30/03/2022, 10.00 
